freq,word1,word2,word3
71,the,scarlet,letter
32,the,Reverend,Mr
26,out,of,the
26,Reverend,Mr,Dimmesdale
24,old,Roger,Chillingworth
22,would,have,been
20,a,kind,of
19,as,if,the
18,Project,Gutenbergtm,electronic
17,of,the,scarlet
17,over,his,heart
16,which,she,had
15,so,far,as
15,as,it,were
15,which,he,had
15,one,of,the
14,the,Project,Gutenberg
14,as,well,as
14,there,was,a
13,a,man,of
13,of,his,own
13,It,may,be
13,his,hand,over
13,hand,over,his
13,Project,Gutenberg,Literary
13,Gutenberg,Literary,Archive
13,Literary,Archive,Foundation
12,the,terms,of
12,it,may,be
12,of,the,old
12,in,the,same
12,one,of,those
12,Hester,Prynne,had
12,Gutenbergtm,electronic,works
12,the,Project,Gutenbergtm
11,that,there,was
11,to,be,the
11,It,might,be
11,It,was,the
11,seemed,to,be
11,It,was,a
11,Hester,Prynne,and
10,THE,SCARLET,LETTER
10,of,the,town
10,have,been,a
10,on,the,other
10,the,United,States
10,to,be,a
10,was,to,be
10,as,it,was
10,in,the,marketplace
10,on,her,breast
10,she,had,been
10,There,was,a
10,in,the,forest
10,as,if,he
10,terms,of,this
10,of,this,agreement
9,with,which,he
9,of,the,most
9,there,is,a
9,side,of,the
9,part,of,the
9,in,which,the
9,in,order,to
9,the,eyes,of
9,that,she,had
9,the,Black,Man
9,the,midst,of
9,the,old,man
9,of,the,brook
8,and,in,the
8,in,reference,to
8,reference,to,the
8,I,know,not
8,as,I,have
8,the,other,hand
8,of,the,CustomHouse
8,had,been,the
8,out,of,his
8,that,it,was
8,it,had,been
8,scarlet,letter,and
8,the,effect,of
8,as,if,it
8,the,shadow,of
8,letter,on,her
8,of,Hester,Prynne
8,I,pray,you
8,scarlet,letter,on
8,in,the,midst
8,to,see,the
8,of,its,own
8,set,forth,in
8,Project,Gutenbergtm,License
8,of,Project,Gutenbergtm
7,of,the,Project
7,some,of,the
7,with,such,a
7,It,was,not
7,a,matter,of
7,there,was,no
7,to,do,with
7,seemed,to,have
7,the,shape,of
7,of,his,life
7,lay,in,the
7,that,he,had
7,not,to,be
7,of,the,age
7,of,the,people
7,Mr,Surveyor,Pue
7,to,have,been
7,to,and,fro
7,with,all,the
7,in,accordance,with
7,in,which,she
7,which,she,was
7,upon,her,bosom
7,of,the,pillory
7,at,the,scarlet
7,must,needs,be
7,man,of,skill
7,as,if,a
7,of,her,life
7,margin,of,the
7,answered,Hester,Prynne
7,my,little,Pearl
7,and,little,Pearl
7,Mr,Dimmesdale,had
7,of,Mr,Dimmesdales
7,of,the,ministers
7,the,clergyman,and
7,that,he,was
7,answered,the,minister
7,said,the,minister
7,to,the,Project
6,it,could,not
6,portion,of,the
6,the,verge,of
6,up,and,down
6,if,it,were
6,the,Old,Manse
6,it,would,be
6,so,much,as
6,here,and,there
6,the,spot,where
6,more,than,a
6,which,they,had
6,and,all,the
6,might,have,been
6,of,the,two
6,that,of,the
6,only,in,the
6,that,had,been
6,now,and,then
6,of,New,England
6,it,was,a
6,that,I,was
6,it,is,true
6,it,with,a
6,in,spite,of
6,It,had,been
6,would,not,be
6,with,the,scarlet
6,in,the,face
6,it,were,a
6,shadow,of,the
6,of,the,day
6,of,the,same
6,of,the,forest
6,not,so,much
6,which,it,was
6,it,might,be
6,it,was,the
6,must,have,been
6,stood,on,the
6,on,the,scaffold
6,the,wearer,of
6,Reverend,Mr,Wilson
6,I,will,not
6,Hester,Prynne,was
6,out,of,her
6,with,a,smile
6,to,the,world
6,was,as,if
6,of,her,own
6,whether,it,were
6,said,the,child
6,the,New,England
6,her,mother,and
6,had,not,been
6,the,minister,with
6,to,Mr,Dimmesdale
6,may,be,that
6,Mr,Dimmesdale,was
6,had,been,a
6,There,is,no
6,the,light,of
6,Gutenbergtm,electronic,work
5,The,Scarlet,Letter
5,the,use,of
5,terms,of,the
5,could,not,have
5,not,have,been
5,the,way,of
5,of,the,peninsula
5,a,little,while
5,in,the,old
5,he,had,been
5,it,would,have
5,and,at,the
5,nothing,of,the
5,to,keep,the
5,but,with,a
5,the,old,mans
5,as,he,was
5,that,he,could
5,and,with,a
5,it,to,be
5,as,it,might
5,it,was,his
5,a,man,who
5,with,the,same
5,of,Mr,Surveyor
5,or,at,least
5,only,by,the
5,there,could,be
5,could,be,no
5,of,the,world
5,of,which,the
5,that,in,the
5,me,in,the
5,the,nature,of
5,out,of,a
5,rather,than,the
5,of,the,Puritan
5,old,Mistress,Hibbins
5,in,the,crowd
5,in,respect,to
5,of,a,young
5,in,her,arms
5,scarlet,letter,in
5,a,part,of
5,as,if,she
5,of,a,little
5,Hester,Prynne,the
5,wearer,of,the
5,scarlet,letter,was
5,the,sight,of
5,the,moment,when
5,Hester,Prynne,said
5,all,the,people
5,there,was,an
5,Such,was,the
5,with,his,hand
5,and,seemed,to
5,into,his,face
5,Dost,thou,know
5,on,the,scarlet
5,scarlet,letter,which
5,of,the,man
5,the,man,of
5,I,might,have
5,he,with,a
5,Not,the,less
5,in,the,procession
5,It,was,as
5,with,which,she
5,the,scene,of
5,the,sphere,of
5,of,the,sea
5,and,the,minister
5,could,not,be
5,the,mother,and
5,of,the,childs
5,the,child,and
5,her,mothers,side
5,said,her,mother
5,the,young,minister
5,in,the,dark
5,all,things,else
5,the,hand,of
5,Hester,Prynne,with
5,the,minister,and
5,to,him,and
5,to,do,so
5,on,which,the
5,the,other,side
5,in,his,own
5,replied,the,minister
5,if,he,had
5,that,the,minister
5,had,so,long
5,the,margin,of
5,the,brook,and
5,in,the,United
5,work,or,any
5,a,Project,Gutenbergtm
5,Project,Gutenbergtm,works
5,full,Project,Gutenbergtm
5,Project,Gutenbergtm,work
4,is,for,the
4,of,official,life
4,of,which,he
4,to,the,public
4,that,it,could
4,It,is,a
4,three,or,four
4,mode,of,life
4,the,head,of
4,by,her,own
4,in,quest,of
4,a,portion,of
4,to,be,seen
4,two,or,three
4,through,the,whole
4,to,have,a
4,he,was,a
4,is,to,be
4,It,is,not
4,so,that,the
4,as,I,was
4,life,had,been
4,greater,part,of
4,the,rest,of
4,of,them,all
4,in,the,shape
4,in,lieu,of
4,and,the,most
4,not,less,than
4,could,only,be
4,But,it,is
4,to,which,he
4,the,remainder,of
4,an,expression,of
4,was,only,the
4,like,that,of
4,not,in,the
4,to,be,of
4,in,his,heart
4,seen,in,the
4,might,be,that
4,on,the,very
4,be,the,best
4,him,with,the
4,other,than,a
4,I,have,been
4,would,it,have
4,a,number,of
4,to,make,a
4,had,long,ago
4,upon,the,floor
4,of,the,whole
4,the,limits,of
4,of,my,own
4,before,the,public
4,the,threshold,of
4,of,all,the
4,the,semblance,of
4,There,was,no
4,ceased,to,be
4,the,face,of
4,up,out,of
4,to,be,made
4,is,a,strange
4,the,gloom,of
4,I,am,a
4,in,the,New
4,of,the,street
4,of,this,kind
4,that,the,Reverend
4,by,the,hand
4,of,the,colony
4,there,was,something
4,her,bosom,It
4,of,what,they
4,into,her,face
4,her,face,and
4,in,those,days
4,came,to,a
4,might,have,seen
4,there,was,the
4,the,Governor,and
4,to,be,borne
4,the,scaffold,of
4,scaffold,of,the
4,it,in,the
4,in,the,air
4,it,on,his
4,needs,be,a
4,in,the,wilderness
4,may,be,the
4,at,the,bottom
4,as,to,a
4,which,Hester,Prynne
4,said,the,clergyman
4,hand,on,the
4,that,he,should
4,here,in,the
4,eyes,of,the
4,into,her,eyes
4,scarlet,letter,He
4,of,the,little
4,in,requital,of
4,I,can,not
4,a,look,of
4,had,been,so
4,with,a,look
4,Roger,Chillingworth,as
4,which,the,preacher
4,with,a,strange
4,there,might,be
4,of,the,dead
4,in,the,world
4,however,there,was
4,none,the,less
4,the,gaze,of
4,Hester,could,not
4,to,win,the
4,for,which,she
4,in,very,truth
4,Hester,Prynne,But
4,answered,the,mother
4,there,is,the
4,woman,of,the
4,of,a,human
4,with,a,kind
4,little,Pearl,said
4,he,had,never
4,of,the,house
4,on,either,side
4,Pearl,said,she
4,of,her,mothers
4,the,Reverend,Arthur
4,talk,with,the
4,Old,Roger,Chillingworth
4,for,an,instant
4,the,young,clergyman
4,into,the,forest
4,in,the,public
4,him,on,the
4,said,the,physician
4,the,sake,of
4,he,would,have
4,him,in,his
4,and,there,a
4,one,of,his
4,other,side,of
4,he,could,not
4,the,old,physician
4,answered,the,physician
4,his,heart,and
4,a,human,heart
4,at,the,minister
4,said,Roger,Chillingworth
4,of,the,minister
4,answered,the,clergyman
4,asked,the,minister
4,which,the,minister
4,the,aspect,of
4,which,we,have
4,had,made,a
4,where,Hester,Prynne
4,of,little,Pearl
4,and,the,child
4,so,long,been
4,my,hand,and
4,to,the,clergyman
4,for,little,Pearl
4,if,there,were
4,hand,in,hand
4,the,minister,to
4,he,had,so
4,said,Hester,Prynne
4,said,Hester,And
4,what,I,am
4,could,have,been
4,keep,his,hand
4,answered,her,mother
4,through,the,forest
4,But,there,was
4,the,course,of
4,across,the,brook
4,part,of,this
4,this,work,or
4,the,phrase,Project
4,phrase,Project,Gutenberg
4,the,full,Project
4,the,copyright,holder
4,Project,Gutenbergtm,trademark
3,The,Project,Gutenberg
3,for,the,use
3,or,online,at
3,of,a,certain
3,to,say,that
3,THE,LEECH,AND
3,LEECH,AND,HIS
3,AND,HIS,PATIENT
3,THE,CHILD,AT
3,CHILD,AT,THE
3,AT,THE,BROOKSIDE
3,life,in,the
3,in,the,deep
3,seems,to,be
3,most,of,his
3,and,then,a
3,his,own,It
3,to,give,a
3,my,native,town
3,half,a,century
3,in,the,days
3,the,days,of
3,which,is,now
3,a,border,of
3,at,once,as
3,that,it,has
3,and,down,the
3,or,in,the
3,the,taste,of
3,and,for,the
3,against,the,wall
3,a,view,of
3,view,of,the
3,the,doors,of
3,of,the,edifice
3,him,out,of
3,which,I,have
3,to,form,a
3,a,sort,of
3,I,seem,to
3,seem,to,have
3,as,a,man
3,At,all,events
3,with,so,much
3,to,the,other
3,in,his,day
3,far,as,I
3,It,is,no
3,any,more,than
3,if,it,be
3,a,series,of
3,and,so,far
3,the,pedestal,of
3,through,which,he
3,Two,or,three
3,to,a,better
3,as,a,matter
3,be,supposed,to
3,to,assume,the
3,the,CustomHouse,steps
3,nothing,short,of
3,at,the,same
3,the,same,time
3,one,another,with
3,it,is,my
3,in,my,regard
3,in,common,with
3,It,would,be
3,them,in,their
3,in,the,CustomHouse
3,lieu,of,a
3,of,a,heart
3,point,of,view
3,of,his,character
3,it,was,to
3,had,long,been
3,days,of,the
3,all,the,subsequent
3,it,could,only
3,of,all,men
3,It,was,only
3,of,his,mind
3,called,upon,to
3,had,not,the
3,of,his,nature
3,looking,at,the
3,it,was,not
3,and,which,was
3,of,the,kind
3,the,expression,of
3,him,at,the
3,the,period,of
3,as,the,most
3,with,his,own
3,that,as,it
3,as,would,have
3,way,through,the
3,a,more,real
3,of,my,life
3,the,observation,of
3,of,a,man
3,at,all,events
3,a,far,greater
3,the,old,Inspector
3,to,a,man
3,man,who,had
3,of,my,mind
3,if,it,had
3,which,could,not
3,it,might,have
3,I,had,been
3,at,any,time
3,be,a,man
3,if,he,will
3,in,which,his
3,all,that,he
3,in,the,way
3,with,which,I
3,that,it,had
3,a,knowledge,of
3,it,had,never
3,had,never,been
3,the,law,of
3,story,of,the
3,an,idea,of
3,the,greater,part
3,in,the,little
3,the,head,that
3,written,in,his
3,the,heap,of
3,the,fact,that
3,come,to,the
3,by,the,by
3,to,take,the
3,had,been,wrought
3,shape,of,a
3,forth,from,the
3,It,seemed,to
3,in,the,view
3,the,view,of
3,the,close,of
3,had,been,her
3,of,the,heart
3,a,person,of
3,was,looked,upon
3,within,the,limits
3,across,the,threshold
3,threshold,of,the
3,the,next,day
3,in,her,little
3,a,quality,of
3,itself,with,the
3,nature,of,the
3,had,ceased,to
3,the,very,nature
3,very,nature,of
3,nature,of,his
3,of,such,a
3,more,or,less
3,and,all,that
3,in,the,sunshine
3,to,him,as
3,of,human,nature
3,the,power,of
3,as,it,now
3,none,of,the
3,long,enough,to
3,looked,upon,as
3,and,at,last
3,all,this,time
3,himself,to,the
3,was,that,the
3,since,he,had
3,beyond,the,grave
3,it,has,been
3,my,life,I
3,the,door,of
3,as,there,is
3,one,of,its
3,that,may,be
3,given,over,to
3,the,white,mans
3,Mistress,Hibbins,the
3,might,be,expected
3,forth,into,the
3,of,the,period
3,period,when,the
3,not,a,whit
3,Hester,Prynne,What
3,on,Hester,Prynnes
3,of,her,gown
3,in,her,heart
3,by,his,side
3,the,shoulder,of
3,shoulder,of,a
3,of,the,prison
3,it,seemed,to
3,to,her,bosom
3,the,breast,of
3,accordance,with,the
3,taste,of,the
3,by,a,certain
3,of,her,spirit
3,and,as,it
3,who,had,been
3,as,if,they
3,had,the,effect
3,her,in,a
3,one,of,her
3,as,for,the
3,into,the,sunshine
3,letter,in,the
3,through,the,crowd
3,the,ignominious,letter
3,breast,It,was
3,as,if,her
3,of,the,marketplace
3,the,platform,of
3,platform,of,the
3,up,to,the
3,the,public,gaze
3,there,been,a
3,the,image,of
3,of,human,life
3,that,the,world
3,the,world,was
3,down,upon,the
3,with,a,bitter
3,to,Hester,Prynne
3,the,human,soul
3,the,study,and
3,a,new,life
3,the,object,of
3,of,the,crowd
3,of,the,English
3,all,other,objects
3,not,fail,to
3,her,bosom,with
3,effort,of,his
3,of,his,will
3,the,depths,of
3,on,his,own
3,the,air,and
3,in,the,sight
3,himself,to,look
3,to,look,into
3,the,bottom,of
3,down,upon,her
3,shadow,of,a
3,to,the,whole
3,distinguished,by,a
3,of,the,multitude
3,laid,his,hand
3,as,touching,the
3,the,name,of
3,Mr,Dimmesdale,a
3,apt,to,be
3,was,with,a
3,of,a,womans
3,the,worshipful,Governor
3,Prynne,said,he
3,to,speak,out
3,speak,out,the
3,pedestal,of,shame
3,Mr,Dimmesdale,and
3,that,Hester,Prynne
3,with,a,voice
3,will,not,speak
3,of,the,poor
3,to,be,in
3,in,a,state
3,a,state,of
3,as,Roger,Chillingworth
3,for,Hester,Prynne
3,him,in,the
3,to,the,child
3,that,made,her
3,the,child,was
3,could,not,but
3,whom,she,had
3,Hester,said,he
3,before,the,people
3,might,yet,be
3,and,sought,to
3,Who,is,he
3,the,ministers,and
3,that,I,shall
3,even,in,the
3,of,her,character
3,of,her,ignominy
3,the,young,and
3,with,the,world
3,to,any,other
3,yet,to,be
3,in,her,mothers
3,of,her,heart
3,with,whom,she
3,than,that,which
3,verge,of,the
3,it,out,of
3,of,the,sphere
3,would,fain,have
3,itself,to,the
3,the,people,were
3,Hester,Prynne,could
3,itself,in,the
3,the,little,girl
3,the,hand,that
3,for,the,poor
3,in,all,the
3,Like,all,other
3,In,all,her
3,it,was,often
3,as,we,have
3,a,flush,of
3,in,the,street
3,throb,of,pain
3,scarlet,letter,had
3,her,with,a
3,could,not,help
3,a,scarlet,letter
3,as,she,passed
3,in,the,nighttime
3,into,the,childs
3,to,which,she
3,it,were,the
3,little,Pearl,was
3,that,could,be
3,which,the,child
3,have,been,no
3,and,did,not
3,for,the,childs
3,the,spiritual,world
3,light,of,the
3,the,child,to
3,it,was,as
3,when,she,was
3,of,her,and
3,a,group,of
3,Nothing,was,more
3,with,which,the
3,children,of,the
3,of,the,settlement
3,so,much,the
3,in,their,hearts
3,her,in,the
3,came,into,the
3,own,image,in
3,a,smile,and
3,an,evil,spirit
3,her,black,eyes
3,that,her,mother
3,acquainted,with,the
3,thee,answered,Hester
3,I,have,no
3,a,pair,of
3,of,her,child
3,not,a,little
3,the,welfare,of
3,side,and,a
3,by,her,mothers
3,mothers,side,and
3,But,it,was
3,was,the,scarlet
3,Pearl,who,was
3,it,by,the
3,which,had,been
3,by,one,of
3,had,never,before
3,and,likewise,a
3,the,centre,of
3,to,speak,of
3,as,she,had
3,mirror,of,the
3,in,the,mirror
3,at,some,distance
3,as,if,to
3,the,appearance,of
3,Reverend,Arthur,Dimmesdale
3,of,the,young
3,to,little,Pearl
3,of,this,world
3,a,child,of
3,But,the,child
3,and,stood,on
3,she,had,not
3,Roger,Chillingworth,with
3,the,young,clergymans
3,to,keep,her
3,will,not,lose
3,not,lose,the
3,lose,the,child
3,Mr,Dimmesdale,at
3,minister,with,a
3,both,her,own
3,worthy,to,be
3,the,forest,and
3,and,Hester,Prynne
3,of,Roger,Chillingworth
3,Roger,Chillingworth,the
3,hoped,to,find
3,men,of,the
3,the,health,of
3,Roger,Chillingworth,was
3,see,fit,to
3,of,the,sky
3,he,come,hither
3,of,his,church
3,with,him,on
3,said,the,Reverend
3,the,lapse,of
3,the,less,however
3,and,the,physician
3,soul,of,the
3,such,as,the
3,held,to,be
3,of,the,community
3,the,character,of
3,of,old,Roger
3,the,poor,ministers
3,no,more,than
3,more,than,the
3,kept,up,a
3,his,hand,and
3,of,his,heart
3,but,could,not
3,asked,Roger,Chillingworth
3,by,the,very
3,Prynne,and,little
3,that,she,would
3,to,which,the
3,of,a,broken
3,it,It,was
3,had,been,made
3,good,Sir,and
3,to,speak,more
3,the,physician,and
3,to,him,the
3,it,be,the
3,on,the,same
3,there,had,been
3,was,one,of
3,of,the,latter
3,was,impossible,to
3,he,should,have
3,with,the,old
3,old,man,and
3,the,truth,and
3,and,that,the
3,before,their,eyes
3,it,all,and
3,had,been,born
3,on,her,bosom
3,It,is,the
3,with,as,much
3,seven,long,years
3,It,was,an
3,was,not,so
3,to,his,own
3,the,line,of
3,the,gleam,of
3,the,old,lady
3,her,own,and
3,beside,the,scaffold
3,Come,up,hither
3,he,knew,not
3,upon,him,and
3,to,take,my
3,the,embroidered,letter
3,to,one,another
3,upward,to,the
3,to,the,zenith
3,and,the,clergyman
3,me,I,have
3,the,foot,of
3,along,with,it
3,letter,was,the
3,effect,of,the
3,in,New,England
3,have,been,as
3,The,scarlet,letter
3,whom,he,had
3,she,came,to
3,seven,years,ago
3,as,he,did
3,him,to,be
3,as,thou,wilt
3,Wilt,thou,yet
3,thou,hast,been
3,took,up,the
3,heard,her,mothers
3,her,mothers,voice
3,mothers,voice,and
3,she,had,so
3,why,dost,thou
3,does,the,minister
3,the,minister,keep
3,minister,keep,his
3,And,there,was
3,for,the,sake
3,little,Pearl,the
3,child,answered,her
3,of,the,clergymans
3,the,Apostle,Eliot
3,along,the,path
3,a,sense,of
3,child,said,Hester
3,heap,of,moss
3,of,the,stream
3,as,the,minister
3,seven,years,past
3,Hester,Prynne,The
3,inhabitants,of,the
3,down,on,the
3,if,he,would
3,which,they,were
3,of,that,day
3,the,little,brook
3,her,hair,and
3,the,minister,had
3,Hester,and,the
3,change,in,the
3,at,the,clergyman
3,from,the,Spanish
3,the,Election,Sermon
3,the,life,of
3,was,the,same
3,What,is,it
3,the,purport,of
3,the,music,and
3,the,marketplace,in
3,of,the,procession
3,in,compliance,with
3,of,the,state
3,of,awe,and
3,awe,and,wonder
3,Shall,we,not
3,Project,Gutenberg,is
3,you,do,not
3,complying,with,the
3,free,distribution,of
3,of,electronic,works
3,or,any,other
3,all,the,terms
3,not,agree,to
3,this,agreement,you
3,copies,of,Project
3,electronic,works,in
